書籍タイトル,著者,ハイライト内容
二項動態経営　共通善に向かう集合知創造 (日本経済新聞出版),野中郁次郎、野間幹晴、川田弓子,組織には慣性や惰性が働く。経済学や経営学では「経路依存性＊ 10」などといわれ、これまでの仕組み、事象、意思決定に依存しすぎて、新たな取り組みが阻害されることを表す。変えようとする力には、反作用で抵抗勢力が生まれることとなるのだ。
マッキンゼー　価値を創るＭ＆Ａ (日本経済新聞出版),加藤 千尋、呉 文翔、福富 尚、山﨑 敦,Ｍ＆Ａの頻度自体が不定期だと、そもそも形式知として体系化するほどの経験を積めない。プログラマティック型のＭ＆Ａで年間１～２件以上のＭ＆Ａを行う企業は、全世界の大手企業では約 14％である一方で、同期間の大手日系企業では９％程度であることからも、そもそもの経験量が不足している企業が多いことが分かる。
良い戦略、悪い戦略 (日本経済新聞出版),リチャード・Ｐ・ルメルト、村井章子,もしたった一つの目標しか選べず、その目標は実現可能でなければならないとしたら、どれを選びますか。実現したときに最も大きなちがいを生み出せるのは、どの目標でしょうか。
エンタメビジネス全史　「IP先進国ニッポン」の誕生と構造,中山 淳雄,１９７０年代後半から東宝が独走状態で成長するのは、まだ撮影所を抱えて内製にこだわった東映や松竹と違い、制作を早々と切り離し、配給と興行のみのマーケティング会社へと変貌し、洋画配給ブームで躍進した結果である。
美しき免疫の力　動的システムを解き明かす,ダニエル・M.デイヴィス、久保　尚子,一方で、時間とともに遺伝子の損傷が増えていくという事実からは、別の可能性もみえてくる。老化は、がんに対する防御として進化してきたのではないか。つまり細胞は、遺伝子に蓄積された損傷のせいで最終的にがん化した場合に備えて、体内に長居しすぎないための仕組みを進化させてきたのかもしれない。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,システムの挙動は、成長、停滞、衰退、振動、ランダムな動き、進化といった経時的なパフォーマンスです。もしニュースが、もっと上手に、出来事を過去からの流れの中に位置づけてくれれば、私たちは挙動レベルをより良く理解できるようになるでしょう。それは、出来事レベルの理解よりも深いものです。システム思考家が問題に直面したときにまず行うのは、データや時系列グラフ、システムの過去の様子を探ることです。長期的な挙動が、その根底にあるシステム構造を理解する鍵を提供してくれるからです。そして、構造は、単に何が起こっているかだけではなく、それはなぜなのかを理解する上での鍵を握っています。
アフターデジタル２ ＵＸと自由,藤井 保文,ということです。これを「コマースの遍在化」
承久の乱　日本史のターニングポイント (文春新書),本郷 和人,義時の急死を受け鎌倉に帰った泰時は、力と力のぶつかり合いだけではない支配のあり方、「法の支配」を幕府に持ち込むことを決意するのです。この泰時の判断には、京都で律令などの存在を知ったことが影響しているでしょう。
コンテクスト・マネジメント～個を活かし、経営の質を高める～,野田 智義,　実際、ネットフリックスでは、マネジメントの階層は少なければ少ないほどよいとされていて、マネジャーは１人当たり６～ 12 人の直属の部下を持つべきとの指針が公式に示されています。これは一般常識の管理スパンより多いと思います。 　組織論の法則に照らして言えば、直属の部下の数が少ないと、どうしてもマネジャーはメンバーの仕事に直接介入したくなります。しかし、部下の人数が多ければ、マネジャーは物理的に介入が困難となり、指導スタイルを自ずと変えざるをえません。
10年変革シナリオ　時間軸のトランスフォーメーション戦略,杉田 浩章,累積生産量を倍々へと増やしていける市場環境の中においてはその先頭を走るプレイヤーは大きなコスト優位性が得られるが、ひとたび市場が成熟すると、どのプレイヤーにもさしたるコスト優位性が効かなくなる。つまり手詰まりの状況が訪れる。それがいつ訪れるのか、逆の言い方をするとその手詰まりの産業に誰がいつ新たなパラダイムシフトを仕掛けてくるか。
フランス現代思想史　構造主義からデリダ以後へ (中公新書),岡本裕一朗,レヴィストロースが「構造」を考えるときは、複数のシステム（体系）を想定し、一連の変換によってそれらを規則的に導出できる、と見なすのだ。 　したがって、構造主義にとって重要な概念は、個々の要素に先立つ関係やシステム（体系）ではなく、むしろ「変換」にこそあると言わなくてはならない。
モダンエルダー　40代以上が「職場の賢者」を目指すこれからの働き方,チップ・コンリー、大熊 希美、関 美和、外村 仁,心理学者のビクトール・フランクルは、「刺激と反応の間には余白がある。その余白で反応を選べる。反応の中に、あなたの成長と自由がある」と言った。
運動しても痩せないのはなぜか：代謝の最新科学が示す「それでも運動すべき理由」,ハーマン・ポンツァー、小巻 靖子,私たちの食料生産システムは生態学の基本的なルールを破ってしまった。食料生産に必要なエネルギーに化石燃料のエネルギーも含めると、私たちは１キロカロリーの食料を生産するために８キロカロリー燃やしている
戦略の要諦 (日本経済新聞出版),リチャード・Ｐ・ルメルト、村井章子,戦略は、状況変化、直面する課題、スキルと知識、リソース、機会の緻密な分析に裏付けられた判断に基づかなければならない。戦略が願望を実現するためであってもかまわないが、しかし必ずいま挙げた分析に基づく現実的な内容でなければならない。
世界は贈与でできている　資本主義の「すきま」を埋める倫理学 (NewsPicksパブリッシング),近内悠太,　思考と生活の流れの中でのみ言葉は意味を持つ。
新・ラグジュアリー　文化が生み出す経済 10の講義,安西洋之、中野香織,若い世代、特に「Ｚ世代」と呼ばれる１９９０年代半ば以降の生まれの人たちが、これからおよそ５年後、ラグジュアリー商品の消費の舞台にのぼってくることになります。その彼らがクラフト的なものを好むのであれば、ラグジュアリーの文脈を考える上で「人の手や作業プロセスをどう評価するか」が重要になってくるのです。
シリコンバレー最重要思想家ナヴァル・ラヴィカント,エリック・ジョーゲンソン、櫻井 祐子,短期的な苦しみと長期的な利益のある物事を積極的に選ぼう。
会社という迷宮――経営者の眠れぬ夜のために,石井 光太郎,そこには、今日という超短期から数十年という長期まで、極端に言えばステークホルダーの数だけ、「会社」を見るさまざまな時間軸があるといってもよい。その中で、すべての時間軸の次元を通覧しながら、同時にその基層にある最も永い時間の次元に立ってものを見なければならないのが経営者であろう。
教養としてのアート 投資としてのアート,徳光健治,単純に多く売れば価値が上がるのではなく、その後のセカンダリー・マーケットまでを含めた戦略がなければ「信用」をつくることができない
いまだ成らず 羽生善治の譜 (文春e-book),鈴木 忠平,また、勝っている時には棋士は指し手を変えないものだが、羽生はどれだけ勝っていても、まるで自分に挑むかのように新たな手に踏み込んでいった。あふれる好奇心と、リスクを怖れない冒険心。それが羽生の止まらない歩みの源泉であり、だからこそ対局者は羽生のことを意識せずにはいられない。
「最強」ソリューション戦略 (日本経済新聞出版),高杉康成,つまり、ソリューション提案をすることとは、「詳しくない顧客に、詳しい情報を持った売り手が提案すること」であり、「売り手が知っていて顧客が知らない情報を基に、潜在ニーズを探索し提案をすること」なのです。
マッキンゼー　ホッケースティック戦略―成長戦略の策定と実行,クリス・ブラッドリー、マーティン・ハート、スヴェン・シュミット、野崎 大輔、アンドレ・アンドニアン,ビジネスでも同様に、トレンドがもたらすメリットを最大限に活かす必要があります。前にも述べましたが、最も重要な要素は業界と地理的条件の２つのトレンドで、これらのトレンドの方向性がパワーカーブ上昇の成否を決める確率に 25％ の比重で影響してきます。
コンテクスト・マネジメント～個を活かし、経営の質を高める～,野田 智義,　チャン・キムたちは、当時はブルー・オーシャンという言葉を使っておらず、自分たちのアプローチを、バリューイノベーションと呼んでいました。技術のイノベーションではなく、価値のイノベーションを行うことで、競争のルール自体を変え、新たな市場を創出する。
三行で撃つ 〈善く、生きる〉ための文章塾,近藤 康太郎,言い換えるとは、考えることです。 世界をよく観ることです。いままでと違う、他人の感覚ではない、自分自身の、ただひとつの世界の見方、切り取り方、考え方にたどり着く。
世界は贈与でできている　資本主義の「すきま」を埋める倫理学 (NewsPicksパブリッシング),近内悠太,もう一つ面白いのは、店内の各テーブルにおかれた「無料の 殻 付きクルミ」というシステムです。要はクルミの無料サービスです。そこには「おひとりさま何個まで」というような制限はありません。つまり、販促ではないのです。 　ではなぜこのサービスを行っているか。 　クルミの減るペースが、店の仕事ぶりを測るバロメーターとなるからです。 　店の仕事ぶりがお客の消費者的な人格を刺激しているようならば、「少しでも多く元を取ろう」とするお客が増え、クルミが減るペースが上がる。逆に客の受贈的な人格を刺激できているなら、負債感から一定の歯止めがそこにかかるというわけです。
未来をつくる起業家　～日本発スタートアップの失敗と成功　20ストーリー～ (NextPublishing),ケイシー ウォール（Casey Wahl）,3年、5年、10年後の未来に対して、自分が誰よりも信じられる強いヴィジョンを持つこと
価格支配力とマーケティング,菅野 誠二、千葉 尚志、松岡 泰之、村田真之助、川﨑稔,ＮＡＳＡとグーグルがその設立に大きくかかわった米国シンギュラリティ大学＊＊ では、その研究結果から指数関数的に急成長を収めた企業の共通項が定義されている。一番重要なのは、野心的な変革目標（ＭＴＰ：Massive Transformative Purpose） から事業をはじめることである。ＭＴＰは組織の大志とも呼べる高い目標を示し、そのための「変革」を重視しているのだ＊＊＊。
BRAND STORY TELLING　ブランドストーリーのつくりかた,ミリ・ロドリゲス、ローリングホフ 育未,顧客たちは、よりイマーシブな体験を、強く求めているのです。 カスタマージャーニー〔顧客が、ある製品やサービスを知り実際に購入するまでの過程〕 における全ての局面で、自分がストーリーの一部になれるような体験がしたい と。消費者として、私にはこの気持ちがよく分かります。
世界はなぜ地獄になるのか（小学館新書）,橘玲,リベラル化で男女の性差が拡大するのは、男と女で好きなこと・得意なことに生得的なちがいが（一定程度）あるからだ。男女の知能の平均は同じだが、男は論理・数学的知能が高く、女は言語的知能が高い。その結果、経済的に発展した国の方が共通テストの平均点が高くなると同時に、男は数学の成績が、女は国語の成績がよいという傾向が見られ、男女の性差は拡大している。
日本のスポーツビジネスが世界に通用しない本当の理由 (光文社新書),葦原 一正,日本はセ・パともに大いに盛り上がり、アメリカはストに揺れた。この１９９４年当時の市場規模は、どちらも１５００億円だったと言われている。
モード後の世界 (扶桑社ＢＯＯＫＳ),栗野宏文,モードの語源は「誰もが理解できる記号」です。
大坂堂島米市場　江戸幕府ｖｓ市場経済 (講談社現代新書),高槻泰郎,米を市場で現金に換え、その現金で財政支出を 賄っていた江戸幕府や大名などの領主階級にとって、米価が下がることは歳入の目減りを意味し、さらに諸物価が上昇することは支出の増大を意味した。米価が他の財の価格に比べて低い状況は、領主財政にとっては看過できない問題だったのである。
脳は世界をどう見ているのか　知能の謎を解く「1000の脳」理論,ジェフ ホーキンス、大田 直子,現在、古い脳が人類存亡の脅威となるのは、私たちの新皮質が、地球全体を変えるどころか破壊さえしかねないテクノロジーを生み出したからだ。古い脳の短絡的な行動は、新皮質の地球を変えるテクノロジーと組み合わさって、人類にとって存亡の脅威になったのだ。
経営者・従業員・株主がみなで豊かになる 三位一体の経営,中神 康議,投資家がＲＯＩＣを好む理由は、（余剰現金や余剰資産の影響を取り除いた）事業に使われている真水の投下資本から、どの程度の純粋な事業利回りを出しているかがわかるからです。財務レバレッジの有無も影響を与えません。「事業そのものの稼ぐ力」をストレートに表す指標なので、そこが見たい長期投資家の好みに合っているの
マッキンゼー　ホッケースティック戦略―成長戦略の策定と実行,クリス・ブラッドリー、マーティン・ハート、スヴェン・シュミット、野崎 大輔、アンドレ・アンドニアン,脱バイアスに効くコツは他にもいくつか存在し、一般的な手法の１つに「事前検死」というものがあります。例えば、２年後に計画していた戦略目標が達成できなかったと仮定し ★ 3、「敗因は何で、どうすれば回避できたか」をチームでブレインストーミングするのです。この手法により、多くの重大な課題を事前に検討することができるようになります。
戦略の要諦 (日本経済新聞出版),リチャード・Ｐ・ルメルト、村井章子,そもそも組織が直面するのは一つの「戦闘」ではなく、一つの「戦争」ですらない。直面するのは一連の戦闘であり、一連の戦争であって、それはつまり一連の課題に継続的に立ち向かうことにほかならない。生き残ることが継続的なプロセスであるように、戦略を立てることも継続的なプロセスである。
勝利の流れをつかむ思考法　F1の世界でいかに崖っぷちから頂点を極めたか,山本 雅史,ぼくの好きな言葉に、松下幸之助の「任せて任さず」という格言がある。自分流にこの言葉を解釈すれば、「権限委譲したら終わり、というわけではない。任せたあともその人を含め、現場で何が起きているかをきちんと見守り、モチベーションを高めてその人が成功するためには何ができるかを考え抜く」ということだ。洋の東西はあれども、ホーナーはこの「任せて任さず」を実践するリーダーであると思う。
良い戦略、悪い戦略 (日本経済新聞出版),リチャード・Ｐ・ルメルト、村井章子,行動をコーディネートするには、「近い目標」を立てるのも良い方法である。「近い」とは、とりあえず実現可能な目標を意味する。明確で実現可能な目標が設定されれば、問題の解決策をダイレクトに行動に結びつけることが可能になる（
三行で撃つ 〈善く、生きる〉ための文章塾,近藤 康太郎,ロシアの小説家チェーホフは「物語の中に銃が出てきた以上、それは発射されなければならない」と言う。 　 書き出しの、のけぞらせる一行目は、「銃」である。
二兎を追う経営　トレードオフからの脱却 (日本経済新聞出版),淺羽茂,つまりユニクロは、品ぞろえ（ファッション性）の追求をあきらめて定番商品を中心に品ぞろえを絞ったおかげで、大量発注、継続的な改良を可能にし、トレードオフにある品質とコストの両方を同時に達成することができたのである。
現代思想入門 (講談社現代新書),千葉雅也,デリダにおいては、「話し言葉」（または「声」） と「書かれたもの」という二項対立がすべての二項対立の根本に置かれます。「話し言葉」はフランス語で「パロール」、「書かれたもの」は「エクリチュール」と言います。パロール／エクリチュールという対立です。
脳は世界をどう見ているのか　知能の謎を解く「1000の脳」理論,ジェフ ホーキンス、大田 直子,機械知能について考えるとき、心に留めておくべき最も重要なことは、第１章で話した脳の大きな分類、すなわち古い脳と新しい脳である。思い出してほしい。人間の脳の古い部位は、生命の基本機能を制御する。感情を、生き延びて子孫をもうけたいという欲望を、そして生得の行動を生み出す。知的機械をつくるとき、人間の脳の機能すべてを再現しなくてはならない理由はない。
楠木建の頭の中　戦略と経営についての論考 (日本経済新聞出版),楠木建,Ｑ企業は次の５つで特徴づけられる。（１） 立ち位置（事業領域） を明確に絞り込み、（２） そこで一貫した戦略ストーリーを持ち、（３） 競合他社と差別化した独自の顧客価値を創出し、（４） それゆえ長期利益を稼ぎ、（５） 結果として成長を実現している。
マッキンゼー　価値を創るＭ＆Ａ (日本経済新聞出版),加藤 千尋、呉 文翔、福富 尚、山﨑 敦,・買収したアセットの減損：減損があるとそのＭ＆Ａは失敗と見られることは多い。一方で、減損はあくまで買い手企業の貸借対照表・損益計算書上での価値毀損に留まるため、そのＭ＆Ａの戦略的な意図や価値創出先が買い手企業の貸借対照表・損益計算書以外の点にある場合も存在し、単純に貸借対照表・損益計算書のみを見て失敗だったと結論付けるのは尚早である
世界を変えた８つの企業,ウィリアム・マグヌソン、黒輪 篤嗣,このように絶体絶命の状況に追い詰められたローマがその後、どのようにハンニバルをイタリアから駆逐し、最終的にカルタゴ軍を破ったかは、古代史の学生にはおなじみの話だ。ローマ軍のこのときの戦い方はのちに「ファビアン戦略」として有名になった。それは正面からぶつかり合う大規模な戦いを避けて、ゲリラ戦に徹することで、戦争を長引かせ、本国から遠く離れた戦地にいるハンニバル軍を疲弊させようとする作戦
企業価値４倍のマネジメント－－結果にこだわるコンサルタントの定石 (日本経済新聞出版),火浦俊彦、ベイン・アンド・カンパニー,我々は「心を奮い立たせる」能力と「職務を遂行する」能力を分けて考えることによって初めて、リーダーシップを健全に育成できる と考えています。
世界は贈与でできている　資本主義の「すきま」を埋める倫理学 (NewsPicksパブリッシング),近内悠太,この贈与は私のもとへ届かなかったかもしれない。 　ということは、私がこれから行う贈与も他者へは届かないかもしれない。 　でも、いつか気づいてくれるといいな──。 　かつて受取人だった自身の経験から、そのように悟った主体だけが、贈与が他者に届くことを待ち、祈ることができるのです。
投資される経営　売買（うりかい）される経営 (日本経済新聞出版),中神康議,"し）、「この会社はどのくらいのキャシュフローを安定的にあげられる会社なのか」を見ていくプロセスです。「実力のキャッシュフロー」を考えていくプロセスと言ってもいいかもしれません。米ビジネススクールで聞いた会計学教授の言葉は今でも、とても印象に残っています。それは、""Profit is opinion, cash is fact""（利益は意見、キャッシュは事実）という言葉です。"
監督の財産 (SYNCHRONOUS BOOKS),栗山英樹,その清宮の性格は本当におおらかだ。ほかの選手たちが出発のバスに乗っているのに食事をしていてちょっと遅れる。「すみませーん」なんて言いながら、実はまだ何か口に入れている……。人によっては、「失礼だ」と思われるところだけど、私はそんな彼の特徴を「消したくない」と考えるタイプだ。それが彼の生きてきた道であるし、育ってきた環境は人それぞれ、全然違うものだ。 　監督だからといって、清宮に「私たちと同じようにするべき」と言うのはあまりにお粗末な発想だろう。 　ただ、それを「失礼だ」と思う人の気持ちもわかる。じゃあ、どうすればそう思われないか。 　それは清宮が結果を出し、チームを勝たせることに他ならない。
世界は贈与でできている　資本主義の「すきま」を埋める倫理学 (NewsPicksパブリッシング),近内悠太,言葉は心の中だけで閉じているわけではなく、生活の中の行為、振る舞いと不可分に組み合わさって流通する
世界秩序の変化に対処するための原則　なぜ国家は興亡するのか (日本経済新聞出版),レイ・ダリオ、斎藤聖美,成功した社会は、できる限り広範囲の人を引き込み、特権ではなく実力に基づいて責任を与える社会だ。それは、1）仕事をこなすのに最適な人材を見出し、2）彼らが多角的な視点を持ち、3）とても公平だとみなされるから、社会の安定性を培うのだ。
師弟百景　“技”をつないでいく職人という生き方,井上 理津子,「我々は今生きている人間だから、今の感性で作品をつくるわけだけど、今ってなんだろうなと思うんだな。古典を知ると、それが見えてくるんだよな」
脳は世界をどう見ているのか　知能の謎を解く「1000の脳」理論,ジェフ ホーキンス、大田 直子,この章で探るのは、脳は座標系を使ってあらゆる知識を配置し、思考は一種の動きであるという仮説である。座標系内で知識が配置された場所が次々に活性化されるとき、思考が起こるのだ。
知略の本質 戦史に学ぶ逆転と勝利 (日本経済新聞出版),野中郁次郎、戸部良一、河野仁、麻田雅文,一方では情況に従い、他方では我に有利な情況をつくり出す。つまり、望ましい帰結は勝利に決まっているので、それに向かって情況に合わせつつ、優位な情況をつくりながら戦う。これが戦略の要諦だ、というのである。
社会学の考え方〔第２版〕 (ちくま学芸文庫),ジグムント・バウマンティム・メイ、ティム・メイ、奥井智之,社会学的に考えることは、多方面にわたる人間の相互依存の網の目──それは、わたしたちが行為の動機や動機を発動させた結果を説明するために言及する、現実の最も強靱な部分である──の分析を通して、人間の条件を 理解する ことである。
経営リーダーのための社会システム論～構造的問題と僕らの未来～,宮台 真司、野田 智義,民主政が成り立つには、政治的決定が各人に何をもたらすかを「想像でき」、そのことが「気にかかる」という各人の感情的能力が欠かせないと言うのです。ある決定がなされる際に、私にとってはよい決定だけれども、他の人にとってはどうだろうかと想像でき、しかもそのことが気にかかって仕方ない。それがピティエです。各人が他の人たちのことを想像でき、気にかけることができれば、その決定は「一般意志」に近づくとルソーは言います。
北条氏の時代 (文春新書),本郷 和人,御家人にとって最も大事なのが地頭になることでした。地頭は荘園の管理人であり徴税やトラブル対策を請け負う用心棒を兼ねていました。
シリコンバレー最重要思想家ナヴァル・ラヴィカント,エリック・ジョーゲンソン、櫻井 祐子,前に読んだブレーズ・パスカルの本に、こんな一文があった。「人間のあらゆる問題は、一人で部屋に静かに座っていられないことから生じる」 　もし 30 分間満ち足りた気持ちで座っていられるなら、君は成功者だ。これはとても強力な境地だけれど、そこに達する人はとても少ないんだ［６］。
欲望の見つけ方　お金・恋愛・キャリア,ルーク バージス、川添 節子,動機づけにはパターンがある。それを特定する手がかりがあれば、濃い欲望の理解に向けて大きく前進するだろう。パターンを明らかにするのにいちばん有効なのが、物語を分かちあうことだ。 　これを語るときには、その行動をとったことで最終的に深く満たされたときの話をする。私自身、今では採用面接で最初にこの質問をするようにしている。上っ面ではなく、その人の本質に切りこめるからだ。「人生で何かをうまくやって、それで満たされたときのことを話してください」
知略の本質 戦史に学ぶ逆転と勝利 (日本経済新聞出版),野中郁次郎、戸部良一、河野仁、麻田雅文,戦略現象を「二項動態」的に把握したうえで、情況と文脈の変化に応じて具体的な戦略を実践していくことが重要なのである。
二項動態経営　共通善に向かう集合知創造 (日本経済新聞出版),野中郁次郎、野間幹晴、川田弓子,変革を行ったリーダーに共通するのは、覚悟と執念、やり抜く力だ。責任という言葉は、英語では responsibility だ。この言葉には応答 response という言葉が入っている。つまり、いま・ここの現実に対して全身全霊で相互に応答しながら、自己変革の主体者としてやり抜いていく覚悟と、志への執念が試される。
承久の乱　日本史のターニングポイント (文春新書),本郷 和人,もうひとつ重要なのは、幕府と朝廷におけるリーダーシップのありかたの違いです。 　後鳥羽上皇は親衛隊として新たに西面の武士を編成しましたが、組織として大きな欠点がありました。それは上皇と武士たちの身分が違い過ぎて、直接、会話を交わすことができなかったことです。
THE MODEL（MarkeZine BOOKS） マーケティング・インサイドセールス・営業・カスタマーサクセスの共業プロセス,福田 康隆,　ここで大事なのは「当該顧客において」という前提条件だ。一般論で「競合他社に対するうちの優位性はこれです」と言っても、その強みが顧客要件に関係がなければ何の意味もない。「ユーザーフレンドリーで現場が使いやすい」という点が特長のツールの場合、その顧客が自社に多数のエンジニアを抱えていて、自分たちでユーザーインターフェイスを開発する自由度を求めているのであれば、その特長は強みにはならない。
キーエンス解剖　最強企業のメカニズム,西岡 杏,業績賞与の支給は年に４回。これについて中田有社長は「会社の業績をリアルタイムに感じやすくなるようにしている」と話す。人事部の斎藤氏は「社員全員が経営に参画する意識を持って主体的に取り組んでいるのは、間違いなくキーエンスの強みだ」とする。
運動しても痩せないのはなぜか：代謝の最新科学が示す「それでも運動すべき理由」,ハーマン・ポンツァー、小巻 靖子,私たちの食料生産システムは生態学の基本的なルールを破ってしまった。食料生産に必要なエネルギーに化石燃料のエネルギーも含めると、私たちは１キロカロリーの食料を生産するために８キロカロリー燃やしている
グループ経営入門【第4版】: グローバルな成長のための本社の仕事,松田　千恵子,本来、経営における難しさは、「やりたいこと」（＝事業）を行うにあたって、「先立つもの」（＝財務）をどう工面し、「取り組む人」（＝組織や人材）にどう頑張ってもらうか、というところにあります。
手段からの解放―シリーズ哲学講話―（新潮新書）,國分功一郎,目的とはまさに手段を正当化するもののことであり、それが目的の定義にほかならない以上、目的はすべての手段を必ずしも正当化しないなどというのは、逆説を語ることになるからである。［ハンナ・アレント『人間の条件』志水速雄訳、ちくま学芸文庫、一九九四年、三六〇頁／『目的への抵抗』一五〇～一五一頁］
新装版「エンタメ」の夜明け　ディズニーランドが日本に来た日 (講談社＋α文庫),馬場康夫,　和田誠には、小谷正一について忘れられない想い出がある。 　１９８０年代初め、 70 歳を過ぎた小谷が、和田誠に電話をかけて、スティーブン・スピルバーグの似顔絵を描いてくれと頼んだ。和田が 使い途 を 訊ねると、 「『Ｅ．Ｔ．』という映画を見たらあんまり面白かったので、ロサンゼルスまで行って監督に面白かったと伝えたい。そのとき手ぶらというわけにもいかないので」 　と言う。 『Ｅ．Ｔ．』を見た感想をスピルバーグに直接伝えようとは、いかにも小谷らしい思いつきである。が、いかに小谷正一といえども、世界的大ヒットを飛ばした直後のスピルバーグとの面会の約束は、そう簡単に取り付けられまい。内心、そんなことを考えながら、それでも和田は、丁寧に似顔絵を描いて、小谷の事務所に届けた。 　数ヵ月後、小谷から和田のもとに１枚の色紙が届いた。色紙には「I recognize myself exactly（ちゃんとボクだと判ったよ）」とあり、その下に「Steven Spielberg」とサインがあった。小谷は、本当にロサンゼルスまで行ってスピルバーグに会い、本人に「『Ｅ．Ｔ．』、おもろかったで」と伝えたのだ。 　その光景を想像し、和田は痛快な気持ちになった。
自由になるための技術　リベラルアーツ,山口周,そして、読み方として大切なのは、物知りになろうと思わないことです。何か得るものが欲しいと思うなら、「このことを人間一般に還元したらどういう意味を持つのか」というふうに、普遍性や通時代性を見出すような読み方をするのがよいと思います。あるいは、歴史の登場人物に感情移入するような読み方ができれば、もちろんそれは質の良い感情移入でないといけませんが、必ず心に残り、糧とすることができるでしょう。
運　ドン・キホーテ創業者「最強の遺言」 (文春新書),安田 隆夫,私はこの計算式を野球に例えて、人生でもビジネスでも「打率と打点の交差主義比率」が最大値になるよう、常に意識して行動するようにしている。そうした 当たり前で合理的なことをブレずにやり続けることが、運を開く上での正攻法になる からだ。
戦略としての企業価値,佐藤 克宏,経営者にとって、経営力とは質問力であるともいえる。事業における課題の理解や意思決定において、社内の機能スキルの専門家たちに対して「正しい質問」を投げかけられる力である。重箱の隅をつつくような質問ではなく、たまたま思いついただけの質問でもない、正しい質問によって、社内の機能スキルの専門家たちの頭脳や経験から、①ファクトベースによる状況の理解、②課題の特定および意思決定の選択肢の構築、そして③意思決定の判断理由を確かめていく、
三行で撃つ 〈善く、生きる〉ための文章塾,近藤 康太郎,　新聞記者は一年目、二年目といった新人のころ、高校野球を担当させられるので、高校野球の記事は常套句の宝庫（?）です。 　試合に負けた選手は「唇をかむ」し、全力を出し切って「胸を張り」、来年に向けて練習しようと「前を向く」ものです。一方、「目を輝かせた」勝利チームの選手は、「喜びを爆発」させ、その姿に「スタンドを埋めた」観客は「沸いた」。 　常套句を使うとなぜいけないのか。あたりまえですが、文章が常套的になるからです。ありきたりな表現になるからです。 　しかし、それよりもよほど罪深いのは、常套句はものの見方を常套的にさせる。世界の切り取り方を、他人の頭に頼るようにすることなんです。
世界はシステムで動く ― いま起きていることの本質をつかむ考え方,ドネラ・Ｈ・メドウズ、枝廣淳子、小田理一郎,ヒエラルキーのあるシステムは、部分的に分解することができます。システムの一部を取り外すことができ、特に濃密な情報のつながりを持つサブシステムは、（少なくとも部分的には）それ自体がひとつのシステムとして機能できます。
「組織と人数」の絶対法則―人間関係を支配する「ダンバー数」のすごい力,トレイシー・カミレッリ、サマンサ・ロッキー、ロビン・ダンバー、鍛原 多惠子,良好なリーダーシップは優秀なフォロワーを生み出す。本書では、リーダーとは何事かをなす人というより、多くを理解する人を指す。自然な流れに身を任せ（樹木は葉を茂らせるのに 褒美 を必要としない！）、派閥形成や偏狭な考えにつながる場合にのみその流れに逆らうことで、リーダーは未来に目を向けることができる。未来こそリーダーの領分なのだ。
１９４０年体制（増補版）,野口 悠紀雄,日本型企業や業者行政など、しばしば日本特有と考えられているものは、昔から存在していたのではなく、総力戦遂行という特定の目的のために導入されたものだった。金融も、自由な市場での直接金融方式から統制的な間接金融に変質した。
北条氏の時代 (文春新書),本郷 和人,頼朝が並みの武士と違うのは、自分たちの政府を作るとなった時に、すぐ文官を集めたことです。これによって「田舎の反乱軍」が、まがりなりにも政治を行う基礎を持つことができ、京都に依存しない体制づくりをはじめることができました。ここで重要なのは当時の鎌倉において文書行政を担当できる人材は、非常に貴重だったということです。大江をトップとする文官グループは、鎌倉にワンセットしか存在しませんでした。
はじめての構造主義 (講談社現代新書),橋爪大三郎,モースはこういうことに気がついて、この交換のシステムのことを「全体的社会的給付」とよんだ。社会（人びとのつながり） とは要するに、交換することなのであって、誰もかれもが交換に巻きこまれていく。交換されるものに、「価値」がそなわっているとしか見えなくなる。こうしたことが、社会的事実（個々人の意思を離れ、社会全体で成立してしまう事柄） として生じていることを、指摘したのだ。
二項動態経営　共通善に向かう集合知創造 (日本経済新聞出版),野中郁次郎、野間幹晴、川田弓子,精神科医・作家の帚木蓬生は「複雑なものをそのまま受け入れられずに、単純化やマニュアル化をしてしまう。答えがないものや、マニュアル化できないものは最初から排除しようとする。そうすると、理解がごく小さな次元にとどまり、より高い次元まで発展しない。その『理解』が仮のものであった場合、悲劇はさらに深刻になります」と語る＊ 16。
モダンエルダー　40代以上が「職場の賢者」を目指すこれからの働き方,チップ・コンリー、大熊 希美、関 美和、外村 仁,もう何年も前に若きシェリル・サンドバーグが、グーグルＣＥＯのエリック・シュミットと差し向かいで、なぜ自分がグーグルに幹部社員として入社することが理屈に合わないのかを、自分が作った基準を元に図表で示して見せた。エリックはシェリルの目をじっと見つめてこう言った。「宇宙船に飛び乗るんだ。急成長している会社は社会に大きなインパクトを与えるし、キャリアは自然に延びる。だが成長力が弱い会社や重要な使命のない会社は、頭打ちになり社内政治がはびこる。もし宇宙船に乗れるとしたら、どの席かは聞いちゃいけない。ただ飛び乗ったほうがいい」
運動しても痩せないのはなぜか：代謝の最新科学が示す「それでも運動すべき理由」,ハーマン・ポンツァー、小巻 靖子,簡単にいうなら、火は、一口当たりのカロリーを増やして消化に要するカロリーを減らすことで、ホミニンが食事から得られるエネルギーを増加させたのだ。
